100,0.000125,0.000048
200,0.000478,0.000186
300,0.001148,0.000434
400,0.002104,0.000876
500,0.003523,0.001469
600,0.005520,0.002327
700,0.007814,0.002868
800,0.011509,0.005718
900,0.022671,0.010001
1000,0.021528,0.013402
1100,0.026650,0.010397
1200,0.035869,0.017596
1300,0.036739,0.018358
1400,0.044098,0.025250
1500,0.050716,0.021340
1600,0.060784,0.031195
1700,0.072656,0.033197
1800,0.081367,0.042162
1900,0.090420,0.042685
2000,0.095099,0.052310
2100,0.140222,0.045190
2200,0.111707,0.058894
2300,0.117900,0.058572
2400,0.129483,0.070316
2500,0.136429,0.060709
2600,0.156198,0.082704
2700,0.155931,0.066116
2800,0.178979,0.093705
2900,0.187897,0.080826
3000,0.209602,0.107083
3100,0.216417,0.089779
3200,0.239477,0.127520
3300,0.249023,0.107179
3400,0.278025,0.138099
3500,0.281982,0.115805
3600,0.312394,0.155651
3700,0.321608,0.136493
3800,0.353174,0.174369
3900,0.356118,0.142215
4000,0.391971,0.191166
