Вхідні матриці:
  -                                                                                                                                                                                                                                                                                                                                                                        -
  |383   -114  -223  -85   793   -665  386   -508  -351  421   -638  -973  -310  -941  763   926   -460  426   172   736   211   368   -433  -571  782   530   -138  123   -933  135   929   802   -978  58    69    -833  393   -544  11    -958  -771  373   -579  -81   784   -463  198   -676  -685  -630  -587  526   -909  -20   956   873   -138  170   -4    281   |
  |-695  -75   84    -673  -664  -495  -154  729   313   857   -876  895   582   -455  -186  367   434   -636  -957  750   87    -192  276   178   788   584   403   -349  -246  -601  932   60    676   368   739   -988  -774  -414  -906  539   -205  -430  434   -622  467   -399  -903  -98   317   -508  -348  -244  301   -720  -714  441   865   689   -556  -381  |
  |-560  -271  -969  -883  -903  771   -519  -325  -291  -73   -433  856   497   -647  -414  -35   306   -317  -781  -376  528   -129  732   -171  503   -981  -730  368   708   -285  -660  -851  796   -277  -382  -755  -154  451   -79   555   -621  488   764   -772  841   -650  193   500   34    764   -876  -86   -13   856   743   -509  -773  -635  859   936   |
  |432   -449  -563  228   275   407   474   -879  -142  -605  -971  237   -765  793   818   -572  -857  11    928   529   -224  -596  -557  763   -387  -462  -394  -160  -96   -182  128   -312  369   917   917   -4    324   743   470   -817  -510  499   772   -275  644   590   505   -861  -46   786   669   -918  -458  -536  -803  507   355   -196  -652  -389  |
  |622   828   299   343   746   568   -660  422   311   810   605   801   661   730   -122  305   320   -264  444   -374  -478  465   -292  416   -718  258   -76   637   -938  624   -400  -964  452   899   379   550   468   -929  -27   131   881   -70   -67   894   -340  -837  199   981   -101  -4    -41   773   -187  668   190   95    -74   -534  84    340   |
  |-910  684   376   542   936   107   445   756   179   -582  -113  412   348   -828  659   -991  -664  210   -658  587   -794  301   713   372   321   255   -181  -401  721   904   939   811   940   667   705   -772  127   150   984   -342  920   224   -578  269   396   -919  630   -916  292   972   672   850   625   385   222   299   -360  -958  898   -287  |
  |-702  -810  -476  -410  -791  -419  -181  336   732   155   994   -996  -621  -231  273   776   -150  255   860   -858  579   884   993   205   621   567   -496  -387  961   -246  326   -741  -56   -798  202   506   -216  -979  -158  -132  528   189   -128  908   958   -502  -964  -192  753   -752  303   333   -867  648   -110  754   567   746   -632  529   |
  |-500  -954  788   797   -751  -10   303   33    363   -503  -747  -108  686   125   152   996   975   188   157   729   436   -540  414   921   -540  -696  -972  -973  -950  -252  556   -98   -206  697   -301  43    39    -998  -572  -597  -500  -319  647   -462  -841  151   -465  -866  -661  692   -785  -873  -496  629   -951  -36   -715  -571  343   -665  |
  |177   -100  238   971   -51   -711  367   988   -708  795   -257  144   -171  -610  682   340   541   -431  826   -768  -739  -958  -640  117   -977  -239  -919  -691  190   425   -4    -633  -323  -766  -310  626   -476  -943  614   168   -795  -642  -688  386   100   -654  -274  -6    -84   -448  578   529   -54   -710  -353  -30   51    80    631   -407  |
  |-143  -373  312   886   214   -645  512   -910  -588  479   610   -31   -811  -726  -645  641   -380  433   -13   888   -662  -434  770   284   -144  -583  -394  -740  849   -763  205   59    217   -482  -55   -217  -127  -542  -127  637   -711  -517  -393  -522  -243  314   -529  729   100   459   618   438   -975  388   74    233   -843  681   493   -642  |
  |-730  -301  417   839   569   -637  -378  -206  173   847   -569  462   -318  390   -708  791   57    115   521   -843  -426  491   947   -49   231   21    -463  740   54    -970  -902  325   81    516   516   2     -769  -861  796   404   -662  -420  218   21    970   862   -188  379   -23   -315  536   904   -824  483   207   759   -143  744   499   911   |
  |-873  950   236   560   818   105   -437  -951  244   -289  805   934   291   375   -45   614   589   768   -7    -82   -195  -118  -178  -18   -283  -970  93    574   -874  -407  486   -747  -457  74    814   -287  -821  -623  -238  775   88    -81   710   -268  -706  17    -654  -765  137   691   153   943   -427  -672  -75   291   -290  -982  217   -164  |
  |-37   55    90    858   -870  -96   -429  -339  633   685   -211  73    -396  -149  805   250   868   -497  485   6     -805  -361  -51   120   -33   -774  -237  677   -404  981   -135  560   36    955   770   518   211   -658  -468  196   -621  321   -730  -16   -828  -573  -766  -960  283   -928  398   830   63    -653  -50   -970  -427  714   -941  522   |
  |-953  -76   82    435   232   204   -46   -557  898   486   640   -722  159   -738  262   683   41    848   723   -676  -728  122   -846  335   821   457   365   -253  171   776   -731  218   -299  703   -347  933   -93   959   -272  -194  797   -280  84    308   334   -302  -9    -624  -102  -285  52    171   -811  559   -494  -990  16    -776  109   -461  |
  |-1000 378   -891  53    81    114   338   989   426   -933  147   223   -213  -769  -468  -878  281   875   -150  -821  -410  -746  350   131   813   857   494   181   -919  -397  720   -567  982   -819  487   415   296   -175  404   -278  -108  -449  -703  -968  134   181   -494  -585  57    708   -405  999   962   -703  483   776   -846  -23   309   -413  |
  |932   382   21    -734  563   -140  682   211   685   86    -715  -70   990   -417  314   476   -884  820   892   525   528   -161  525   490   136   360   618   643   -663  -72   -418  -379  -690  955   -112  -775  -185  -430  437   -147  -992  722   783   -650  -343  97    827   126   269   -929  -349  149   -90   -472  -361  -602  888   -390  -607  -423  |
  |890   -24   199   -448  -69   -913  -223  -901  -343  -434  -48   17    -359  -265  368   298   -816  195   -224  805   266   428   -46   -472  -692  593   278   -803  -445  672   -226  -555  0     -675  -3    -717  -588  -873  -618  421   -307  334   -561  334   -579  -841  -15   -43   354   761   -238  -28   541   716   852   850   662   482   -601  -783  |
  |154   173   15    -494  851   -636  -210  -737  -509  172   -963  537   -141  -172  -129  280   -13   856   -410  -659  970   352   665   511   69    517   361   83    351   -888  300   -494  638   -333  364   489   32    -846  -896  875   679   -859  412   -462  -31   -364  -830  956   -156  -240  -351  -186  -535  -686  -674  886   -817  -961  -31   535   |
  |-848  -379  -607  790   289   -891  631   -327  -736  735   -452  -705  877   -687  -167  198   -51   355   155   793   -532  -844  -40   -67   -177  286   171   358   677   -860  245   -819  -239  990   -677  -950  -900  954   75    -636  -958  624   -341  919   -711  844   469   238   551   -24   383   -981  133   -657  304   956   981   -525  666   -989  |
  |-33   -88   -808  729   -98   -132  -869  2     174   207   718   216   183   -623  487   472   -427  -43   62    -875  933   -203  -504  418   141   -847  726   474   -20   393   485   948   -695  -970  -971  559   -102  -840  -438  -576  719   -720  641   -98   10    480   -274  583   -211  -860  708   -277  -62   -443  -507  -569  -290  -780  905   690   |
  |613   391   638   -730  421   667   829   -329  -820  -257  95    899   24    88    154   -614  -431  -768  969   710   -627  -970  -567  663   -413  279   -906  649   499   -649  339   464   742   330   -914  515   349   915   -814  881   11    634   -867  -613  -278  287   -227  643   519   -258  354   -756  124   -861  -741  -937  418   -647  712   269   |
